Business Name,Zip Code,License Number,License Type,City
A & M IMPORTS LLC,212245749,235768,22S,BALTIMORE
A TO Z WINEWORKS LLC,971326966,158858,22S,NEWBERG
A W DIRECT LLC,954032000,239546,22S,SANTA ROSA
A. BOMMARITO WINES INC.,631442711,96573,LS,BRENTWOOD
A. HARDY USA LTD.,600183338,95054,LS,DES PLAINES
A.V. BRANDS INC.,21093,169341,LS,LUTHERVILLE
A.V.V. WINERY COMPANY LLC,954489642,147198,22S,HEALDSBURG
A-BLONDES INC.,630051025,227448,LS,CHESTERFIELD
ABITA BREWING COMPANY LLC,704200000,231298,22S,ABITA SPRINGS
ACCOLADE WINES NORTH AMERICA INC.,945592455,208688,22S,NAPA
ACNAM LLC,115902265,215412,22S,WESTBURY
ADAM PUCHTA & SON WINE COMPANY,650414103,57174,DOMW,HERMANN
ADAMBA IMPORTS INTERNATIONAL INC.,112371119,141356,LS,BROOKLYN
ADVANTAGE INTERNATIONAL DISTRIBUTORS INC,331722636,239878,LS,DORAL
AIKO IMPORTERS INC.,294647494,201556,LS,MT. PLEASANT
AKC ENTERPRISES INC.,633013480,168432,DOMW,ST. CHARLES
ALAMBIC INC.,954826969,163289,LS,UKIAH
ALBONEE COUNTRY INN & VINEYARDS LLC,640573005,168129,DOMW,INDEPENDENCE
ALLIED IMPORTERS USA LTD.,111015435,163603,22S,LONG ISLAND CITY
ALLTECH'S BEVERAGE DIVISION LLC,403568700,234634,LS,NICHOLASVILLE
ALPHA & OMEGA WINERY LLC,945730000,238992,22S,RUTHERFORD
"ALPHA BREWING COMPANY, LLC",631031936,213386,22MS,ST. LOUIS
ALPHA MARKETING NETWORK,331695714,203348,22S,MIAMI
ALPHABETA BREWERY LLC,63116,248327,22MS,ST. LOUIS
ALTA WINES LLC,945586187,244700,22S,NAPA
ALTAMAR BRANDS LLC,926251928,215828,LS,CORONA DEL MAR
ALTO VINEYARDS LTD.,629050000,232218,22S,ALTO PASS
AMAVI CELLARS LLC,993627007,185677,22S,WALLA WALLA
AMBYTH ESTATE LLC,934658336,244701,22S,TEMPLETON
AMERICAN BEVERAGE CORPORATION,154141135,229608,LS,VERONA
AMERICAN ESTATES WINES INC.,079011904,152456,22S,SUMMIT
AMERICAN VINTAGE BEVERAGE INC.,606615644,223237,LS,CHICAGO
AMERISTAR CASINO KANSAS CITY LLC,64161,243124,MICB,KANSAS CITY
AMICI CELLARS INC.,945159728,226321,22S,CALISTOGA
AMICUS CELLARS LLC,945586187,180178,22S,NAPA
AMUSE BOUCHE LLC,945741704,178621,22S,ST. HELENA
ANCHOR BREWING COMPANY LLC,941072334,200053,LS,SAN FRANCISCO
ANCHOR DISTILLING COMPANY LLC,941072334,204393,LS,SAN FRANCISCO
ANDERS-LANE ARTISAN WINES LP,950373201,178188,22S,MORGAN HILL
"ANDERSON, MIKE",945741329,225875,22S,ST. HELENA
"ANDERSON'S CONN VALLEY WINERY, INC.",945749646,185613,22S,ST. HELENA
ANHEUSER-BUSCH LLC,631181849,205466,LS,ST. LOUIS
ANHEUSER-BUSCH LLC,631181849,205697,22MS,ST. LOUIS
ANN ARBOR BREWING COMPANY LLC,802392102,235930,LS,DENVER
ANTHONY BOZZANO LLC,934013816,244702,22S,SAN LUIS OBISPO
APOSTROPHE BRANDS LLC,606544916,192766,LS,CHICAGO
APPELLATION TRADING COMPANY LLC,945580000,237708,22S,NAPA
APPELLATIONS LLC,630433530,180069,LS,MARYLAND HEIGHTS
APPLE CREEK VINEYARD & WINERY LLC,637477313,209334,22MS,FRIEDEIM
"ARBIOS WINES LTD., INC.",954095347,124230,22S,SANTA ROSA
ARCADIAN MOON VINEYARDS & WINERY LLC,640379162,217036,22MS,HIGGINSVILLE
ARCANA LLC,945622787,183569,22S,OAKVILLE
"AREL GROUP WINES AND SPIRITS, INC.",303052180,141546,22S,ATLANTA
ARETE WINES LLC,934364970,227196,22S,LOMPOC
ARIETTA INC.,945749662,213303,22S,ST. HELENA
"ARTISAN SPIRITS, LLC",630683206,201152,LMS,NEW HAVEN
"ARTISANAL IMPORTS, INC.",787045363,169418,LS,AUSTIN
ARTISANS CELLAR INC.,633763572,229371,LS,ST. PETERS
ARTY'S INC. PARTNERSHIP,549291669,237354,22S,CLINTONVILLE
ASAHI BEER USA INC.,905031688,118063,5S,TORRANCE
ASCENDANT SPIRITS INC.,934279584,224122,LS,BUELLTON
ASKARI O.H. LLC,787242615,202679,22S,AUSTIN
ASSOCIATED BREWING COMPANY,551171325,188630,LS,ST. PAUL
ASV WINES INC.,950469561,53763,22S,SAN MARTIN
ATHENEE IMPORTERS & DISTRIBUTORS LTD,115512039,210241,22S,HEMPSTEAD
ATLAS DRINKS LLC,980537644,217480,22S,REDMOND
ATLAS IMPORTS LLC,606544486,162672,22S,CHICAGO
AUBREY FARMS LLC,660859059,228051,22S,OVERLAND PARK
"AUGUST BRIGGS JR., INC.",954031917,242733,22S,SANTA ROSA
AUGUST WINE GROUP LLC,981162812,131367,22S,SEATTLE
AUGUSTA BREWING VENTURE LLC,630902191,215835,MICB,WASHINGTON
AUGUSTA WINE COMPANY,633321703,102768,22MS,AUGUSTA
AUGUSTA WINE COMPANY,633321518,111202,DOMW,AUGUSTA
AUSA PACIFIC LLC,945151410,226061,22S,CALISTOGA
AVERY BREWING COMPANY,803013242,169495,22S,BOULDER
B. UNITED INTERNATIONAL INC.,068961325,190912,LS,REDDING
BABCOCK ENTERPRISES INC.,934369613,241935,22S,LOMPOC
"BACARDI U.S.A., INC.",331345809,176184,LS,CORAL GABLES
BACCHUS TECHNOLOGIES LLC,080541012,160505,22S,MT. LAUREL
BACCO WINE & SPIRIT LLC,176021937,197707,22S,LANCASTER
BACK HOME BREWING LLC,657210000,240903,MICB,OZARK
BACKYARD VINE & WINE LLC,644688465,235430,22MS,MARYVILLE
BADGER MOUNTAIN INC.,993387337,111954,22S,KENNEWICK
BALDUCCI'S WINEFEST INC.,631462710,122205,DOMW,MARYLAND HEIGHTS
BALEARIC BEVERAGE DISTRIBUTORS INC.,220791432,214564,22S,LORTON
BALTIMORE BEND VINEYARD LLC,640969153,159464,22MS,WAVERLY
BANFI PRODUCTS CORPORATION,115452109,56478,LS,OLD BROOKVILLE
BANVILLE & JONES WINE MERCHANTS,070474713,152683,22S,NORTH BERGEN
BANVILLE & JONES WINE MERCHANTS INC.,10001,246603,LS,NEW YORK
BARGETTO'S SANTA CRUZ WINERY,950732530,61594,22S,SOQUEL
BARLOW VINEYARDS LLC,945159646,214123,22S,CALISTOGA
"BARRENS WINERY LLC, THE",637757156,220441,22MS,PERRYVILLE
BASE CAMP LLC,631321712,155957,22S,ST. LOUIS
BASTARD BROTHERS BREWING CO LLC,630492684,238121,5MS,HIGH RIDGE
BAUM WINE IMPORTS INC.,601621457,114240,LS,HILLSIDE
BEAR CREEK BED & BREAKFAST LLC,657718126,233856,22MS,WALNUT SHADE
"BEAR REPUBLIC BREWING CO., INC.",954254439,175745,22S,CLOVERDALE
BEAUX FRERES LLC,97132,246549,22S,NEWBERG
