    PID TTY      STAT   TIME COMMAND
      1 ?        Ss     0:40 /sbin/init
      2 ?        S      0:00 [kthreadd]
      3 ?        I<     0:00 [rcu_gp]
      4 ?        I<     0:00 [rcu_par_gp]
      6 ?        I<     0:00 [kworker/0:0H-kblockd]
      9 ?        I<     0:00 [mm_percpu_wq]
     10 ?        S      0:00 [ksoftirqd/0]
     11 ?        I      0:09 [rcu_sched]
     12 ?        S      0:00 [migration/0]
     13 ?        S      0:00 [idle_inject/0]
     14 ?        S      0:00 [cpuhp/0]
     15 ?        S      0:00 [cpuhp/1]
     16 ?        S      0:00 [idle_inject/1]
     17 ?        S      0:00 [migration/1]
     18 ?        S      0:01 [ksoftirqd/1]
     20 ?        I<     0:00 [kworker/1:0H-kblockd]
     21 ?        S      0:00 [cpuhp/2]
     22 ?        S      0:00 [idle_inject/2]
     23 ?        S      0:00 [migration/2]
     24 ?        S      0:00 [ksoftirqd/2]
     26 ?        I<     0:00 [kworker/2:0H-kblockd]
     27 ?        S      0:00 [cpuhp/3]
     28 ?        S      0:00 [idle_inject/3]
     29 ?        S      0:00 [migration/3]
     30 ?        S      0:00 [ksoftirqd/3]
     32 ?        I<     0:00 [kworker/3:0H-kblockd]
     33 ?        S      0:00 [cpuhp/4]
     34 ?        S      0:00 [idle_inject/4]
     35 ?        S      0:00 [migration/4]
     36 ?        S      0:00 [ksoftirqd/4]
     38 ?        I<     0:00 [kworker/4:0H-kblockd]
     39 ?        S      0:00 [cpuhp/5]
     40 ?        S      0:00 [idle_inject/5]
     41 ?        S      0:00 [migration/5]
     42 ?        S      0:00 [ksoftirqd/5]
     44 ?        I<     0:00 [kworker/5:0H-kblockd]
     45 ?        S      0:00 [cpuhp/6]
     46 ?        S      0:00 [idle_inject/6]
     47 ?        S      0:00 [migration/6]
     48 ?        S      0:00 [ksoftirqd/6]
     50 ?        I<     0:00 [kworker/6:0H-kblockd]
     51 ?        S      0:00 [cpuhp/7]
     52 ?        S      0:00 [idle_inject/7]
     53 ?        S      0:00 [migration/7]
     54 ?        S      0:00 [ksoftirqd/7]
     56 ?        I<     0:00 [kworker/7:0H-kblockd]
     57 ?        S      0:00 [kdevtmpfs]
     58 ?        I<     0:00 [netns]
     59 ?        S      0:00 [rcu_tasks_kthre]
     60 ?        S      0:00 [kauditd]
     63 ?        S      0:00 [khungtaskd]
     64 ?        S      0:00 [oom_reaper]
     65 ?        I<     0:00 [writeback]
     66 ?        S      0:00 [kcompactd0]
     67 ?        SN     0:00 [ksmd]
     68 ?        SN     0:00 [khugepaged]
    115 ?        I<     0:00 [kintegrityd]
    116 ?        I<     0:00 [kblockd]
    117 ?        I<     0:00 [blkcg_punt_bio]
    119 ?        I<     0:00 [tpm_dev_wq]
    120 ?        I<     0:00 [ata_sff]
    121 ?        I<     0:00 [md]
    122 ?        I<     0:00 [edac-poller]
    123 ?        I<     0:00 [devfreq_wq]
    124 ?        S      0:00 [watchdogd]
    130 ?        S      0:00 [kswapd0]
    131 ?        S      0:00 [ecryptfs-kthrea]
    133 ?        I<     0:00 [kthrotld]
    134 ?        S      0:00 [irq/125-aerdrv]
    135 ?        S      0:00 [irq/125-pcie-dp]
    136 ?        S      0:00 [irq/126-aerdrv]
    137 ?        S      0:00 [irq/126-pcie-dp]
    138 ?        I<     0:00 [acpi_thermal_pm]
    139 ?        I<     0:00 [vfio-irqfd-clea]
    141 ?        D      0:04 [kworker/1:2+usb_hub_wq]
    145 ?        I<     0:00 [ipv6_addrconf]
    154 ?        I<     0:00 [kstrp]
    157 ?        I<     0:00 [kworker/u17:0-hci0]
    172 ?        I<     0:00 [charger_manager]
    230 ?        I<     0:00 [nvme-wq]
    231 ?        I<     0:00 [nvme-reset-wq]
    234 ?        I<     0:00 [nvme-delete-wq]
    236 ?        S      0:00 [scsi_eh_0]
    237 ?        I<     0:00 [scsi_tmf_0]
    238 ?        S      0:00 [scsi_eh_1]
    239 ?        I<     0:00 [scsi_tmf_1]
    240 ?        S      0:00 [scsi_eh_2]
    241 ?        I<     0:00 [scsi_tmf_2]
    242 ?        S      0:00 [scsi_eh_3]
    243 ?        I<     0:00 [scsi_tmf_3]
    244 ?        S      0:00 [scsi_eh_4]
    245 ?        I<     0:00 [scsi_tmf_4]
    246 ?        S      0:00 [scsi_eh_5]
    247 ?        I<     0:00 [scsi_tmf_5]
    255 ?        I<     0:00 [kworker/5:1H-kblockd]
    257 ?        I<     0:00 [kworker/7:1H-kblockd]
    265 ?        I<     0:00 [kworker/6:1H-kblockd]
